datetime,tempmax,tempmin,temp,feelslike,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,sealevelpressure,visibility,solarradiation,uvindex,conditions
2022-02-11,20.9,15.1,17.8,17.8,78.9,5.3,100,8.33,rain,43.6,40.7,1016.2,8.7,43.9,3,"Rain, Overcast"
2022-02-12,18.8,12.9,16.9,16.9,56.6,0,0,0,,51.8,37.1,1020.5,9.8,352.7,9,Partially cloudy
2022-02-13,21.7,8.9,15.6,15.6,65.1,0,0,0,,30.2,24.1,1012.4,9.8,276,8,Partially cloudy
2022-02-14,25.1,9.8,18,17.9,72.3,0,0,0,,29.5,22.3,1008.9,10,341,8,Clear
2022-02-15,33.3,15.1,25,25.4,62.8,0,0,0,,44.6,29.5,1009.5,10,331.8,8,Clear
2022-02-16,33.8,17.1,22.3,22.3,65.6,0,0,0,rain,55.4,35.3,1012,10,303.4,8,Partially cloudy
2022-02-17,19.2,15.2,17.2,17.2,60.8,0,0,0,,38.2,29.5,1019.5,10,336.1,8,Partially cloudy
2022-02-18,21.8,16.1,19.1,19.1,73.4,0,0,0,,34.2,31.7,1016.3,10,285.6,8,Partially cloudy
2022-02-19,22.8,14.1,19.6,19.6,85,0,0,0,,33.1,25.9,1011.4,10,307.4,8,Partially cloudy
2022-02-20,22.1,13.8,19.5,19.5,85.5,0,0,0,rain,25.9,18.4,1010.2,9.9,220.9,6,Overcast
2022-02-21,22.2,17.8,20,20,80.2,0.1,100,4.17,rain,36.4,29.5,1015.4,9.7,295.1,7,"Rain, Partially cloudy"
2022-02-22,22.2,19.1,20.4,20.4,80.4,0,0,0,rain,30.6,24.1,1018.7,10,295.5,8,Partially cloudy
2022-02-23,22.2,15.1,19.8,19.8,81.2,0,0,0,,28.4,20.5,1017.1,10,310.1,7,Partially cloudy
2022-02-24,21.7,17.3,19.3,19.3,87.6,3.3,100,8.33,rain,50.4,25.9,1011.2,9,110.9,4,"Rain, Partially cloudy"
2022-02-25,29,14.8,21.2,21,60.2,0,0,0,,67,33.5,1011.4,10.6,321.3,8,Clear
2022-02-26,29.8,12.9,20.4,20.4,77.7,9,100,4.17,rain,44.3,27.7,1011.9,9.6,244.9,8,"Rain, Partially cloudy"
2022-02-27,26.8,16,21.7,21.8,81.2,0,0,0,rain,48.2,20.5,1006.5,8,213.4,6,Partially cloudy
2022-02-28,23.9,9.7,16.5,16.4,62.2,0,0,0,,61.2,37.1,1009,10,269.7,8,Clear
2022-03-01,26.1,5.7,16.9,16.3,58.3,0,0,0,,64.8,46.4,1009.7,10,299.7,8,Partially cloudy
2022-03-02,25.7,10.2,18.9,18.9,67.5,0,0,0,,49.7,42.5,1007.8,9.9,302.8,8,Partially cloudy
2022-03-03,24.5,7.7,15.8,15.5,75.2,0,0,0,,45.7,31.7,1013.8,9.9,302.7,8,Partially cloudy
2022-03-04,31.1,13.2,20,20.5,86.6,14,100,8.33,rain,42.1,31.7,1010.4,9.3,255.7,7,"Rain, Partially cloudy"
2022-03-05,21.9,16.9,19.3,19.3,76.9,0,0,0,rain,33.5,22.3,1011.3,9.7,265.1,7,Partially cloudy
2022-03-06,20.2,16.9,18.6,18.6,81.8,0,0,0,,32,24.1,1011,10,291.1,8,Partially cloudy
2022-03-07,24,15.7,19.4,19.4,81.4,22,100,4.17,rain,52.9,27.7,1005.3,9.5,240.8,6,"Rain, Partially cloudy"
2022-03-08,24.8,10.9,18,18,73.9,0,0,0,,49.7,20.5,1011.8,10,287.6,8,Clear
2022-03-09,24.9,15.1,19.3,19.3,74.4,0,0,0,,50,31.5,1013.7,9.8,245.1,7,Partially cloudy
2022-03-10,21.8,7.8,16.4,16.4,66.1,0,0,0,,24.8,25.9,1015.5,9.6,286.8,8,Clear
2022-03-11,20,11.2,15.8,15.8,75.5,0,0,0,rain,43.6,31.7,1017.2,9.5,171.5,5,Partially cloudy
2022-03-12,19.9,5.9,13.7,13.4,78.1,0,0,0,,28.8,18.4,1018.7,9,281.3,8,Clear
2022-03-13,23.9,10.3,16.5,16.5,79.8,0,0,0,,42.8,22.3,1017.4,10.3,192.4,7,Clear
2022-03-14,28.9,12.1,20.1,20,71.8,0,0,0,,37.4,24.1,1011.9,8.9,265.4,7,Partially cloudy
2022-03-15,22.2,12.2,18.3,18.3,75,0,0,0,,27.7,18.4,1014.7,9.7,271.9,7,Partially cloudy
2022-03-16,29.8,10.8,20.5,20.6,74.4,0,0,0,,53.6,38.9,1012,8.4,257.2,7,Partially cloudy
2022-03-17,28.7,16,20.2,20.3,75,0,0,0,,56.9,34.6,1009.1,10.9,252.4,7,Partially cloudy
2022-03-18,17.8,7.2,15.3,15.2,56,0,0,0,rain,39.2,31.7,1019.4,9.6,99.6,3,Partially cloudy
2022-03-19,18.8,2.9,11.5,10.8,65,0,0,0,rain,38.5,29.5,1024,10,192.3,5,Partially cloudy
2022-03-20,16.1,1.8,10.9,10.6,66.6,0,0,0,,34.2,24.1,1027.9,10,243.8,7,Clear
2022-03-21,17.1,8.8,14.8,14.7,83.8,1.1,100,8.33,rain,56.2,27.7,1022.9,8.2,67.3,3,"Rain, Overcast"
2022-03-22,25.8,16.8,19.3,19.3,84.6,2,100,4.17,rain,60.8,25.9,1012.7,9.3,226.3,8,"Rain, Partially cloudy"
2022-03-23,22.8,11.9,17.6,17.6,94.8,0,0,0,,51.5,27.7,1007.7,3.5,224.3,8,Partially cloudy
2022-03-24,21.1,13.9,18.9,18.9,85.9,23.5,100,12.5,rain,65.5,31.7,1000.7,7.3,60.8,4,"Rain, Partially cloudy"
2022-03-25,18.8,13.1,16.4,16.4,90.4,45.6,100,16.67,rain,58,33.5,1000.7,6.2,97.3,7,"Rain, Overcast"
2022-03-26,18.7,15.9,17.2,17.2,93,0.9,100,8.33,rain,59.4,29.5,1003.4,7.1,30.4,2,"Rain, Overcast"
2022-03-27,24.3,9.7,16.5,16.3,70.6,0,0,0,,51.8,33.5,1009,10,232.5,8,Clear
2022-03-28,26.9,8,17.4,17.3,74.2,0,0,0,,59.4,24.1,1013.1,10,227.3,8,Clear
2022-03-29,21.2,10.3,17,17,77.8,3.2,100,8.33,rain,60.8,27.7,1005.5,9.7,138.2,7,"Rain, Partially cloudy"
2022-03-30,14.8,8.1,10.5,9,76.4,11.5,100,12.5,rain,61.2,33.5,1011.8,9,98.5,4,"Rain, Partially cloudy"
2022-03-31,16.3,8.5,12.2,11.6,85.9,1.4,100,8.33,rain,44.3,20.5,1021.7,10,162,7,"Rain, Partially cloudy"
2022-04-01,20.2,6.4,13.1,12.8,75.5,0,0,0,,30.2,18.4,1025.4,10,215,8,Clear
2022-04-02,21.1,8.8,14.9,14.7,72,0,0,0,,55.4,33.5,1020.4,10,213.9,7,Clear
2022-04-03,24.2,10.9,16.5,16.5,74,0,0,0,rain,55.4,35.3,1012.5,9.6,154.8,7,Partially cloudy
2022-04-04,22.1,5.2,13.2,12.3,62.3,0,0,0,,50,24.1,1014.1,10,213.3,7,Clear
2022-04-05,24.9,6.2,15.5,14.7,58.4,0,0,0,,53.6,40.7,1013.3,10,203,7,Partially cloudy
2022-04-06,28.7,12.3,19.4,19.3,60.8,0,0,0,,60.8,27.7,1011.7,10,197.6,7,Clear
2022-04-07,18,12.2,15.8,15.8,85.5,0,0,0,,26.6,24.1,1016.4,10,193.5,7,Partially cloudy
2022-04-08,19.2,15.8,17.4,17.4,87.8,0,0,0,,27.7,18.4,1017.5,10,123.9,4,Partially cloudy
2022-04-09,20.2,11.8,16.4,16.4,93.1,0,0,0,,40.7,22.3,1016.8,7.1,187.9,7,Partially cloudy
2022-04-10,21.8,17.1,19,19,93,0.4,100,4.17,rain,52.6,22.3,1012.9,9.5,144.5,6,"Rain, Overcast"
2022-04-11,20.9,11.1,16.7,16.7,90.4,21,100,12.5,rain,52.9,31.7,1005.8,8.3,40.9,3,"Rain, Partially cloudy"
2022-04-12,19.8,6.1,12.1,11.1,78.1,0,0,0,,41.8,29.5,1007.9,10,164.7,7,Partially cloudy
2022-04-13,20.2,7,12.9,12.4,70.4,0,0,0,,40.7,20.5,1015.3,10,189.5,7,Clear
2022-04-14,17,5.2,11.3,11.1,78.6,0,0,0,,27.7,20.5,1022.8,10,184.6,7,Clear
2022-04-15,19.8,6.2,12.2,11.8,82.7,0,0,0,,32.8,18.4,1022.9,10,184,7,Clear
2022-04-16,20.8,7.2,13.5,13.4,88.6,0,0,0,,29.2,22.3,1023.3,6.4,179.1,7,Partially cloudy
2022-04-17,21,8.8,14.5,14.4,87.1,0,0,0,,29.2,16.6,1023.4,8.3,161.1,6,Partially cloudy
2022-04-18,20.2,8.1,14.9,14.9,93.2,0,0,0,rain,38.9,22.3,1020.8,7.5,136.5,6,Partially cloudy
2022-04-19,21.1,13.7,16.4,16.4,93.8,0,0,0,,44.3,20.5,1017.3,6.3,160.7,6,Partially cloudy
2022-04-20,18.8,14.7,16.5,16.5,95.3,0,0,0,rain,31,16.6,1014.7,5.7,136,5,Partially cloudy
2022-04-21,19.1,10.9,14.1,14.1,74.7,0,0,0,rain,38.5,22.3,1009,9.6,167.4,6,Partially cloudy
2022-04-22,17.6,10.1,13.1,13.1,74,0,0,0,rain,61.2,37.1,1002.1,9.9,140.5,6,Partially cloudy
2022-04-23,23.8,4.8,14,13.1,64.2,0,0,0,,66.6,46.4,1001.5,10,159.8,6,Partially cloudy
2022-04-24,23,10.8,16.9,16.9,70.8,2,100,4.17,rain,63.7,27.7,1004.7,10,160.2,6,"Rain, Partially cloudy"
2022-04-25,20.1,8.2,16.1,16.1,63.8,0,0,0,rain,64.8,20.5,1006.6,9.6,149.2,6,Partially cloudy
2022-04-26,22.2,5.4,14.5,14.2,92.3,22,100,4.17,rain,50,35.3,1004.7,7.2,134.1,6,"Rain, Partially cloudy"
2022-04-27,17.9,9.8,15,14.8,68.8,47.6,100,8.33,rain,59.8,29.5,1002.9,8.9,163.5,6,"Rain, Partially cloudy"
2022-04-28,13.2,7.9,10.5,9.6,64.4,0,0,0,rain,59.8,33.5,1016.1,10,156.1,6,Partially cloudy
2022-04-29,14.1,3.9,8.5,7.3,75.1,0,0,0,rain,40,18.4,1025.1,9.9,100.1,5,Partially cloudy
2022-04-30,13.9,0.2,6.9,6.2,73,0,0,0,,31.7,20.5,1020.7,10,150,6,Partially cloudy
2022-05-01,13.1,3.2,9.7,8.6,73.2,0,0,0,rain,47.9,24.1,1017,10,53.5,3,Partially cloudy
2022-05-02,11.9,8.3,10.2,10,63.8,0,0,0,,21.2,14.8,1024.4,10,75,3,Overcast
2022-05-03,15.9,0.8,8.8,7.9,77.5,0,0,0,,39.2,24.1,1022.2,10,148.1,6,Clear
2022-05-04,19.1,5.1,11.6,10,71.3,0,0,0,,53.6,37.1,1017.6,10,144.4,6,Clear
2022-05-05,21.2,6.8,13.4,12.2,73.3,0,0,0,,45,27.7,1017.5,10,129.5,5,Partially cloudy
2022-05-06,20,7.8,12.4,11.9,85.6,0,0,0,,39.2,20.5,1019.5,8,138.8,5,Clear
2022-05-07,23.1,7.2,14.3,14,83.4,0,0,0,,46.4,37.1,1019.2,6.8,127.8,5,Partially cloudy
2022-05-08,22.9,9.2,15.6,15.6,84.4,0,0,0,,61.2,42.5,1015.6,8.8,135.5,5,Partially cloudy
2022-05-09,16.8,10.9,13.5,13.5,83.1,0,0,0,,29.5,20.5,1021.1,8.9,124.8,5,Partially cloudy
2022-05-10,14.9,9.1,11.8,11.8,82.8,0,0,0,,24.8,18.4,1019.8,9,93.1,4,Partially cloudy
2022-05-11,15.1,5,11.3,11.1,76.3,0,0,0,,25.9,24.1,1022.3,9.2,133.5,5,Clear
2022-05-12,14.2,2.1,8.8,8.6,87.1,0,0,0,,28.4,18.4,1021.3,8.4,120.6,5,Partially cloudy
2022-05-13,15.8,8.2,11.8,11.7,90,2,100,4.17,rain,39.2,14.8,1018,9.8,12.6,1,"Rain, Partially cloudy"
2022-05-14,16.2,3.1,9.7,8.8,70.5,0,0,0,,37.1,22.3,1018.6,10,123.6,5,Clear
2022-05-15,12.9,3.9,9.4,8.5,84.5,3,100,4.17,rain,56.9,29.5,1016.6,9.3,36.1,3,"Rain, Partially cloudy"
2022-05-16,12.9,10.7,11.4,11.4,87.4,12,100,12.5,rain,61.6,37.1,1018.4,6.4,36.3,2,"Rain, Partially cloudy"
2022-05-17,13.1,11.7,12.4,12.4,74.6,0.2,100,4.17,rain,64.8,42.5,1022.8,9.9,51.5,3,"Rain, Overcast"
2022-05-18,11.8,9.2,10.8,10.5,71.1,0,0,0,rain,40.3,29.5,1025.4,10,84.5,4,Overcast
2022-05-19,13.2,1,7.5,6.2,82.9,0,0,0,,40.3,22.3,1020.2,9.8,124.3,5,Partially cloudy
2022-05-20,16.6,3.9,9.8,8.3,80.5,0,0,0,,47.2,29.5,1014.2,10,104.8,5,Partially cloudy
2022-05-21,20.1,4.8,11.7,11.1,74.8,0,0,0,,41.4,13,1017.1,9.2,120.6,5,Partially cloudy
2022-05-22,16.9,3.1,8.8,7.9,90.4,0,0,0,,42.1,18.4,1018.3,6.5,104,4,Partially cloudy
2022-05-23,16.8,9.4,12.1,11.7,85.8,0,0,0,,40,18.4,1015.7,9.7,74.9,4,Overcast
2022-05-24,12.1,2.9,9.2,8.5,94.8,3,100,4.17,rain,31.3,14.8,1015.5,7.2,37.9,4,"Rain, Partially cloudy"
2022-05-25,12.7,1.9,7.5,6.7,87.4,0,0,0,,33.8,20.5,1021.5,9,62,4,Partially cloudy
2022-05-26,12.1,1.1,6.4,5.5,76.7,0,0,0,,28.4,14.8,1025.1,10,108.1,5,Partially cloudy
2022-05-27,12.1,5.2,8.2,7.7,79.5,0,0,0,rain,24.8,14.8,1019.3,10,96.3,4,Partially cloudy
2022-05-28,11.9,1.2,6.6,5.3,86.9,0,0,0,,20.9,20.5,1014.2,9.7,95.5,4,Partially cloudy
2022-05-29,10.2,2.9,6.3,3.4,77.7,0,0,0,rain,53.3,24.1,1011.2,10,78.1,4,Partially cloudy
2022-05-30,9.1,1.9,5.5,2.2,71.7,4.2,100,8.33,rain,61.6,29.5,1015.2,9.6,104.8,4,"Rain, Partially cloudy"
2022-05-31,10.5,0,4.8,2.1,75.6,0,0,0,rain,43.2,24.1,1019.5,10.6,93.4,5,Clear
2022-06-01,11.8,-0.9,5.2,3,80.6,0,0,0,rain,49.3,27.7,1019.7,9.9,91.9,4,Partially cloudy
2022-06-02,9.7,-0.9,5.6,4.5,81.5,0,0,0,,24.8,11.2,1024.6,9.9,100.3,4,Partially cloudy
2022-06-03,10.8,-2.8,4,2.4,80.9,0,0,0,,32,16.6,1026.8,9.7,103.9,4,Partially cloudy
2022-06-04,13.8,1.8,7.6,6.7,86.2,0,0,0,,43.2,20.5,1021.5,9.5,71.5,3,Partially cloudy
2022-06-05,13.8,4.7,8,7.7,94.1,0,0,0,,32,9.4,1016.8,4.2,80.3,3,Partially cloudy
2022-06-06,18.2,0.9,9.3,8.3,80.3,0,0,0,,33.8,22.3,1014.6,10,101.9,4,Partially cloudy
2022-06-07,16.7,4.8,9.6,8.3,82.1,0,0,0,,50,42.5,1013.3,9.4,83,4,Partially cloudy
2022-06-08,16.2,0.8,7.6,5.7,91.6,0,0,0,,36.4,24.1,1015.7,3.5,104.5,4,Partially cloudy
2022-06-09,13.8,5.1,8,5.4,92.2,0,0,0,,44.6,29.5,1017.5,5.2,71.3,3,Partially cloudy
2022-06-10,8.1,2.8,5.8,2.2,87.6,6.3,100,16.67,rain,59,29.5,1021.4,8.7,24.4,1,"Rain, Partially cloudy"
2022-06-11,12.9,2.5,7.5,5.5,75.4,0,0,0,,56.2,22.3,1020.8,10,99.3,4,Partially cloudy
2022-06-12,16.2,-1.4,6,5.3,78.8,0,0,0,,22.7,9.4,1022.2,7.1,104.4,4,Partially cloudy
2022-06-13,18.1,2.1,9.2,8.1,72.9,0,0,0,,49.3,24.1,1020.8,9.7,104,4,Partially cloudy
2022-06-14,14.1,3.7,9,7.6,79.9,0,0,0,,54.4,31.7,1016.4,9.9,71,3,Partially cloudy
2022-06-15,16.1,1.8,7.1,6.2,93.2,0,0,0,,20.5,13,1016.2,4.5,96.9,4,Partially cloudy
2022-06-16,10.2,1,6.6,5.7,92.2,0,0,0,,25.6,16.6,1013.3,6.3,66.4,3,Partially cloudy
2022-06-17,9.8,-0.1,4.7,0.7,90.9,5.6,100,8.33,rain,63,40.7,1006.8,6.2,44.6,3,"Rain, Partially cloudy"
2022-06-18,13.1,-0.1,5.6,3.3,63.6,0.2,100,4.17,rain,53.3,27.7,1012.3,10,99.3,4,"Rain, Partially cloudy"
2022-06-19,11.8,0.1,5.6,3.5,77.7,0,0,0,rain,67.7,25.9,1013.9,10,51.1,2,Partially cloudy
2022-06-20,11.8,-1.8,5.3,3.8,89.9,0,0,0,,27,18.4,1017.6,6.3,65.7,3,Partially cloudy
2022-06-21,10.2,2.3,7.1,5.6,77.1,0,0,0,rain,38.9,29.5,1019.4,9.8,85.4,4,Partially cloudy
2022-06-22,7.8,-1,5.3,2.9,63.4,0,0,0,,31.7,53,1022.7,9.7,64.2,3,Partially cloudy
2022-06-23,9.8,-0.7,4.5,3.2,78,0,0,0,,18,13,1022.6,9.4,76.9,3,Partially cloudy
2022-06-24,9.1,2.1,5.9,4.4,79.2,0,0,0,rain,37.1,14.8,1026,10,86.7,4,Partially cloudy
2022-06-25,10,1,4.7,2.7,89.2,0,0,0,rain,31.3,16.6,1030.9,9.9,53.2,3,Partially cloudy
2022-06-26,9,-1,4.9,3.3,79.3,0,0,0,,37.1,22.3,1025.7,9.5,91.3,4,Partially cloudy
2022-06-27,13.1,4.1,8.2,5.8,79.9,0,0,0,,49.7,33.5,1015.5,10,97.8,4,Partially cloudy
2022-06-28,16.1,1.6,7.1,5.7,74.5,0,0,0,,45.4,18.4,1014.2,10,86.1,4,Partially cloudy
2022-06-29,18.9,7.2,12,10.9,66.1,3,100,4.17,rain,59.4,31.7,1009.3,9.7,76.4,4,"Rain, Partially cloudy"
2022-06-30,12.1,3.1,7.1,6.2,73.6,0,0,0,,36.7,25.9,1016,10,102.9,4,Partially cloudy
2022-07-01,12,1.8,7.3,5.8,72.3,0,0,0,rain,55.1,31.7,1011.5,10,59.4,3,Partially cloudy
2022-07-02,11.2,1,7.4,5.5,79.3,0,0,0,,55.4,25.9,1011.1,10,95.8,4,Partially cloudy
2022-07-03,12.8,-2.8,5,3.4,66.9,0,0,0,,34.2,31.7,1020.3,10,105.7,5,Partially cloudy
2022-07-04,12.8,1.8,7.4,6,81.4,0,0,0,,42.8,18.4,1018.4,9.5,52.5,2,Partially cloudy
2022-07-05,14.2,-3,4.9,3.4,70.8,0,0,0,,33.5,14.8,1017.4,9.7,110.7,5,Clear
2022-07-06,10.2,0.7,5.7,3.7,98.3,0.7,100,4.17,rain,41.4,20.5,1010.7,4.6,106.8,4,"Rain, Partially cloudy"
2022-07-07,11.2,0.2,8,5.5,55.1,0,0,0,,61.2,37.1,1011,9.7,109.9,5,Partially cloudy
2022-07-08,14.8,-2.4,5.6,3.7,63.6,0,0,0,,60.1,18.4,1021.2,10,109.3,5,Partially cloudy
2022-07-09,14.1,9,10.9,10.3,89,0.9,100,4.17,rain,63.4,19.4,1011,8.2,15.2,1,"Rain, Overcast"
2022-07-10,15.8,9.8,12.1,11.9,85.4,0,0,0,rain,47.9,22.3,1005.6,7.9,47.8,3,Overcast
2022-07-11,10.3,6.1,8.5,6.6,80.3,0,0,0,rain,49.3,25.8,1012.7,9.6,56.5,3,Overcast
2022-07-12,10.9,2.2,6.6,4.5,73.8,0,0,0,rain,54.7,27.7,1015.9,9.8,97,5,Partially cloudy
2022-07-13,15,5,8.5,5.9,70.7,0,0,0,,65.5,38.9,1015.1,10,97.3,4,Partially cloudy
2022-07-14,11.8,4,9.1,8.6,95.5,0,0,0,rain,43.9,29.5,1013.8,7.1,61.3,3,Partially cloudy
2022-07-15,12,9,10.9,10.4,98.7,7,100,8.33,rain,59.4,22.3,1008.8,4.6,38.4,2,"Rain, Overcast"
2022-07-16,9,6.7,8.5,5.3,84.4,0,0,0,rain,64.1,29.5,1009.5,9.1,28.9,1,Overcast
2022-07-17,15,-0.9,7.2,4.3,68.1,0,0,0,,63.7,35.3,1012.1,10,114.8,5,Partially cloudy
2022-07-18,12.9,2.7,8.2,6.1,70.4,0,0,0,,70.9,27.7,1019.6,10,113.6,5,Partially cloudy
2022-07-19,13.1,-3.8,5,3.1,78.5,0,0,0,,57.2,37.1,1024,9.6,122,5,Clear
2022-07-20,18,4.9,10.1,8.3,75.6,0,0,0,,63.7,35.3,1011.4,9.6,117.2,5,Clear
2022-07-21,12.9,6,9.5,8.5,70.2,0,0,0,,58.3,27.7,1012.5,10,104.1,4,Partially cloudy
2022-07-22,12.1,3.6,8.2,7.5,74.8,0,0,0,,21.2,14.8,1017,8.6,77.1,4,Partially cloudy
2022-07-23,12.8,6.6,10,9.3,98.2,0.3,100,4.17,rain,31.7,16.6,1014.8,6.4,75.9,3,"Rain, Partially cloudy"
2022-07-24,11,6.2,9.4,8.6,99.5,0,0,0,rain,23.4,20.5,1018.5,2.4,89.9,4,Partially cloudy
2022-07-25,11.2,8.2,10,8.8,98.6,0,0,0,rain,58,25.9,1022.5,8,77,4,Overcast
2022-07-26,15.1,10.9,12.1,12.1,100,24,100,8.33,rain,59.4,22.3,1018.1,2.8,29,1,"Rain, Overcast"
2022-07-27,12.9,10.1,10.9,10.9,100,21,100,8.33,rain,30.2,22.3,1014.3,3.2,17.8,2,"Rain, Partially cloudy"
2022-07-28,10.1,8.1,9.2,6.3,96.8,1.1,100,8.33,rain,55.8,33.5,1010.5,6.8,25.9,1,"Rain, Overcast"
2022-07-29,17.7,2.1,9.3,8.2,78.9,0,0,0,,42.1,16.6,1014.5,9.8,128.9,5,Clear
2022-07-30,17,1.2,8.1,7.6,83.7,0,0,0,,19.8,13,1016.8,10,120.2,5,Partially cloudy
2022-07-31,16.2,4.2,9.7,9.4,87.1,0,0,0,,18.4,11.2,1018.4,8.5,91,4,Partially cloudy
2022-08-01,16.9,3.9,9.2,8.6,88.8,0,0,0,,25.6,14.8,1018.7,7,118,5,Partially cloudy
2022-08-02,12.9,3.1,8.7,8.4,97.2,0,0,0,,34.9,14.8,1019.5,8.8,111,4,Partially cloudy
2022-08-03,11.1,8.3,10.1,9.3,96.5,0,0,0,rain,27,18.4,1017.2,5.8,128.1,5,Overcast
2022-08-04,9.1,1.8,7.3,6,80.8,0,0,0,,25.2,16.6,1016.1,9.2,111.1,5,Partially cloudy
2022-08-05,12.8,-0.7,5.9,4.9,88.5,0,0,0,,36.7,16.6,1017.8,7.4,138.8,5,Partially cloudy
2022-08-06,10.1,0.8,6.3,5.4,87.4,0,0,0,,23.8,14.8,1022.8,9.9,60.5,3,Partially cloudy
2022-08-07,7.7,5.3,6.6,4.9,82.5,0.2,100,4.17,rain,22,20.5,1026.8,9.9,54.4,2,"Rain, Overcast"
2022-08-08,12.1,5.9,8.5,7.4,82.9,0,0,0,rain,20.2,20.5,1030.4,9.8,50.4,2,Partially cloudy
2022-08-09,13,4.1,8.3,7.6,83.4,0,0,0,rain,34.2,18.4,1032.1,9.1,142,6,Partially cloudy
2022-08-10,14.2,3.2,7.9,6.3,84.4,0,0,0,,43.2,25.9,1027.1,7,137.7,5,Partially cloudy
2022-08-11,16.1,5.9,10.1,8.5,81.5,0,0,0,,50,33.5,1020.8,8.2,150.3,6,Partially cloudy
2022-08-12,17.2,4.1,9.8,8.9,86.8,0,0,0,,46.8,20.5,1016.5,10,147.9,6,Clear
2022-08-13,20.9,6.1,13,12.5,69,0,0,0,,51.1,20.5,1016,10,152.8,6,Partially cloudy
2022-08-14,16.1,10.9,12.6,12.6,92,0,0,0,rain,53.6,24.1,1010.8,9.1,137.1,5,Partially cloudy
2022-08-15,12.7,2.7,9.3,8.4,79.5,33.3,100,8.33,rain,64.8,35.3,1003.1,8.8,139.3,5,"Rain, Partially cloudy"
2022-08-16,15.1,3.8,9.1,7.3,67.4,0,0,0,,70.9,38.9,1003.1,10,145.7,6,Partially cloudy
2022-08-17,13.3,4.8,9.1,7.3,79,2,100,4.17,rain,45.4,33.5,1006.9,9.8,99.8,5,"Rain, Partially cloudy"
2022-08-18,10,2.9,6,3,79.4,1.1,100,8.33,rain,52.2,31.7,1017.9,9.7,162.3,6,"Rain, Partially cloudy"
2022-08-19,16.2,-1.3,7.2,5.1,69.5,0,0,0,,47.9,29.5,1023.6,10,167.3,6,Clear
2022-08-20,17.8,4.2,10.8,8.9,59.7,0,0,0,,55.1,40.7,1024,10,156.3,6,Partially cloudy
2022-08-21,10.8,4.1,8.2,6,85.5,0,0,0,rain,39.2,29.5,1027.8,8.9,61,2,Partially cloudy
2022-08-22,10.8,6,7.9,6.4,93.1,0,0,0,rain,45,20.5,1026.7,7.4,167.5,6,Partially cloudy
2022-08-23,15.9,6.1,9.6,8.1,90.7,0,0,0,,46.4,22.3,1020.2,6.1,176,6,Partially cloudy
2022-08-24,21.2,4.7,12.3,11.4,79.6,0,0,0,,27,16.6,1017,7.7,167.1,6,Partially cloudy
2022-08-25,21.8,6.9,13.4,13.4,79.8,0,0,0,rain,25.2,14.8,1016.1,8.9,163.5,6,Partially cloudy
2022-08-26,16.2,0.8,9.8,9.4,85.4,0,0,0,rain,26.3,14.8,1013.9,7.6,161.8,6,Partially cloudy
2022-08-27,13,5.7,10,9,72.1,2.3,100,8.33,rain,64.8,44.6,1013,8.4,169.9,7,"Rain, Partially cloudy"
2022-08-28,10.2,0,5.6,3.7,69,0,0,0,,50.4,29.5,1030.4,9.9,185.7,7,Partially cloudy
2022-08-29,16,0,7.8,5.9,56.2,0,0,0,,47.2,31.7,1030.6,10,193.9,7,Clear
2022-08-30,18,1,10,8,72,0,0,0,,55.8,33.5,1025.2,9.4,196.3,7,Clear
2022-08-31,18,6,11.1,10.5,89.6,0,28.6,0,,51.8,18.4,1017.7,11.1,172.6,7,Partially cloudy
